x1;x2;x3;x4;x5;x6;x7;x_train
6605.332029;325012.3628;844.7999878;0.400000006;9234.882907;340.0504971;342.3638633;7.900000095
6589.033615;325107.2181;844.7999878;0.49000001;9367.692372;339.6295493;342.6575472;3.400000095
6644.567816;324997.4889;843.2000122;0.400000006;9539.721473;339.4931454;342.904398;8.199999809
6660.47116;324992.085;845.7999878;0.389999986;9873.779323;341.4139246;345.3344388;7
6075.028361;223204.794;848.7000122;0.5;11865.95609;333.8262285;338.9946619;5
6593.342283;324867.605;843.2000122;0.270000011;10246.10885;344.5624684;348.7227649;4.699999809
6606.666416;324496.8053;843.5999756;0.550000012;10643.52578;342.5889781;348.2129095;8.5
6625.006274;325003.5375;844.4000244;0.589999974;11090.16483;342.3374566;348.2064332;7.599999905
6610.338096;325003.1968;845;0.600000024;11250.74162;345.4652798;353.2021369;8.300000191
6628.482621;324994.6183;851.9000244;0.720000029;11578.125;348.4808365;356.9047092;7.699999809
6546.355839;324986.4567;854.0999756;0.720000029;10076.51057;351.0115876;356.5819211;5.800000191
6617.661303;325514.4295;853.0999756;0.75;8978.410169;343.4135136;346.0454863;3.599999905
6608.690046;325012.5114;848.4000244;0.589999974;8372.959212;341.1477908;341.7410372;8.800000191
6644.936523;324994.6924;853.2000122;0.589999974;8872.644259;340.0344421;342.187142;10.30000019
6633.627098;324960.1358;850.9000244;0.589999974;8604.316027;340.3183894;341.2638152;12
6636.827912;324994.8201;848.5999756;0.579999983;9080.964748;340.088453;342.4477006;9.699999809
6642.393417;325004.0641;849.5999756;0.5;9652.7594;342.5805446;347.3588566;8.399999619
6670.899276;325001.5711;850.4000244;0.540000021;9626.714703;343.776629;348.1008611;10.19999981
6681.334436;324989.8593;854.2000122;0.569999993;9863.991836;342.8000749;347.4053297;9.199999809
6667.385946;325011.9125;855.0999756;0.519999981;9904.917766;344.7605554;348.8426812;5.900000095
6678.386123;324993.655;850.7999878;0.5;10195.43584;342.9103077;347.8455993;6.300000191
6671.491845;325007.4746;853.2999878;0.400000006;9979.007851;341.9258211;346.5653438;7.199999809
6673.904733;325006.9458;852.0999756;0.5;10241.12034;342.3153086;347.25506;11.39999962
6679.267343;324984.0246;851.5999756;0.610000014;10344.74677;344.0932815;350.2568095;7.800000191
6682.677527;325009.7936;853.2000122;0.529999971;9942.119072;343.1395407;347.6100804;7.699999809
6674.406814;325003.9101;853.2999878;0.519999981;9720.193305;343.7325862;347.7570316;9.100000381
6673.328228;324999.6799;853.7000122;0.519999981;9626.059486;343.5090466;347.0763431;11.30000019
6679.79923;325010.5275;853;0.529999971;9788.130513;345.1513923;348.6752841;10.5
6689.85687;325003.9173;850.9000244;0.660000026;10045.92596;346.1732281;350.4056724;6.900000095
6696.115943;325000.4192;849.9000244;0.689999998;10164.16404;346.4047192;351.0428316;5.699999809
6689.480672;325002.9283;850.2000122;0.689999998;9781.315664;345.5901954;349.5698417;7.5
6688.309355;325002.2664;852;0.680000007;9745.958512;345.94987;349.9403585;8.199999809
6667.494214;316413.7228;853.0999756;0.689999998;9618.412549;344.1970722;347.4702034;8.899999619
6526.582246;239397.8838;850;0.709999979;10516.67993;337.8067986;339.9295829;6.699999809
6463.952021;212640.6141;849.5;0.660000026;10544.15259;335.3488939;335.2752731;4.199999809
6602.301919;324223.8634;848.5;0.579999983;9757.860653;347.7363917;353.5533771;4.900000095
6505.570466;269995.1104;849;0.540000021;9613.898827;344.5281781;347.4623185;3.599999905
6507.427758;269966.132;847.7999878;0.519999981;9149.12586;340.0952825;341.0361703;3.5
6489.7258;250717.439;843.9000244;0.409999996;9419.446624;336.8891447;336.3641791;5.699999809
6876.13123;287752.4818;842.7000122;0.439999998;10348.93817;337.5770192;341.6564445;6.099999905
